date,portfolio_value,monthly_return,cumulative_return,rolling_60m_cagr,rolling_60m_vol,rolling_60m_sharpe,weight_AGG,weight_SPY,strategy_name,publish_timestamp
2003-09-30,10000.0000000000,0.0000000000,0.0000000000,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2003-10-31,10283.7698294664,0.0283769829,0.0283769829,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2003-11-28,10364.9069974736,0.0078898273,0.0364906997,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2003-12-31,10718.4017279559,0.0341049592,0.0718401728,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-01-30,10864.4284380547,0.0136239258,0.0864428438,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-02-27,11002.4995442472,0.0127085476,0.1002499544,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-03-31,10945.1475849376,-0.0052126300,0.0945147585,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-04-30,10698.0253908390,-0.0225782423,0.0698025391,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-05-28,10791.7604825379,0.0087619059,0.0791760483,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-06-30,10942.9978765927,0.0140141541,0.0942997877,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-07-30,10771.9457056606,-0.0156311984,0.0771945706,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
2004-08-31,10857.4281025236,0.0079356505,0.0857428103,,,,0.4000000000,0.6000000000,beta_engine_60_40,2026-02-22T01:51:08+00:00
