date,portfolio_value,monthly_return,cumulative_return,rolling_60m_cagr,rolling_60m_vol,rolling_60m_sharpe,weight_BAC,weight_MCD,strategy_name,publish_timestamp
2000-01-31,10000.0000000000,0.0000000000,0.0000000000,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-02-29,8995.8808308329,-0.1004119169,-0.1004119169,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-03-31,10478.5677252255,0.1648184233,0.0478567725,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-04-28,10231.4841897729,-0.0235798958,0.0231484190,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-05-31,10654.3337366416,0.0413282706,0.0654333737,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-06-30,9031.5134911155,-0.1523155071,-0.0968486509,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-07-31,9319.5882294895,0.0318966183,-0.0680411771,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-08-31,9717.7954915159,0.0427279889,-0.0282204508,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-09-29,9656.9465631042,-0.0062615980,-0.0343053437,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-10-31,9389.3323121671,-0.0277120981,-0.0610667688,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-11-30,8814.5007077864,-0.0612217765,-0.1185499292,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2000-12-29,9763.5451761799,0.1076685453,-0.0236454824,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2001-01-31,9941.3534614216,0.0182114470,-0.0058646539,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2001-02-28,9713.2110001610,-0.0229488331,-0.0286789000,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2001-03-30,9630.3746548278,-0.0085282143,-0.0369625345,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2001-04-30,9912.6041327932,0.0293061784,-0.0087395867,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2001-05-31,10751.0223207872,0.0845810220,0.0751022321,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
2001-06-29,10250.1532277074,-0.0465880433,0.0250153228,,,,0.5000000000,0.5000000000,mcd_bac_50_50_20y,2026-02-22T04:23:16+00:00
